run_id,canonical_run_id,display_name,backbone_combination,fusion_method,candidate_name,macro_f1_gain,backbone,label,precision,recall,f1,support,canonical_precision,canonical_recall,canonical_f1,f1_gain,precision_gain,recall_gain
20260531_213445_finetuned_mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,20260529_173756_finetuned_mnv2-effb0_weighted_mlp_s42,mnv2+effb0 weighted,mobilenet_v2+efficientnet_b0,weighted,w_cw_adamw_low_lr_p512,0.04727610450986108,mobilenet_v2+efficientnet_b0,bkl,0.520618556701031,0.6047904191616766,0.5595567867036011,167,0.4972067039106145,0.5329341317365269,0.5144508670520231,0.04510591965157795,0.023411852790416465,0.07185628742514971
20260531_213445_finetuned_mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,20260529_173756_finetuned_mnv2-effb0_weighted_mlp_s42,mnv2+effb0 weighted,mobilenet_v2+efficientnet_b0,weighted,w_cw_adamw_low_lr_p512,0.04727610450986108,mobilenet_v2+efficientnet_b0,bcc,0.7534246575342466,0.7746478873239436,0.7638888888888888,71,0.4862385321100917,0.7464788732394366,0.5888888888888889,0.17499999999999993,0.2671861254241549,0.028169014084507005
20260531_213445_finetuned_mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,20260529_173756_finetuned_mnv2-effb0_weighted_mlp_s42,mnv2+effb0 weighted,mobilenet_v2+efficientnet_b0,weighted,w_cw_adamw_low_lr_p512,0.04727610450986108,mobilenet_v2+efficientnet_b0,akiec,0.5409836065573771,0.6346153846153846,0.584070796460177,52,0.4105263157894737,0.75,0.5306122448979592,0.05345855156221779,0.1304572907679034,-0.11538461538461542
20260531_213323_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_low_lr_p512_s42,20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,w_cw_adamw_low_lr_p512,0.04047641620195175,resnet50+mobilenet_v2,vasc,0.9375,0.7142857142857143,0.8108108108108109,21,0.8,0.7619047619047619,0.7804878048780488,0.030323005932762048,0.13749999999999996,-0.04761904761904756
20260531_213323_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_low_lr_p512_s42,20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,w_cw_adamw_low_lr_p512,0.04047641620195175,resnet50+mobilenet_v2,nv,0.8950980392156863,0.9093625498007968,0.9021739130434784,1004,0.905163329820864,0.8555776892430279,0.8796722990271377,0.022501614016340654,-0.01006529060517769,0.05378486055776888
20260531_213323_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_low_lr_p512_s42,20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,w_cw_adamw_low_lr_p512,0.04047641620195175,resnet50+mobilenet_v2,mel,0.5333333333333333,0.5269461077844312,0.5301204819277109,167,0.4219409282700422,0.5988023952095808,0.495049504950495,0.035070976977215895,0.11139240506329112,-0.0718562874251496
20260531_213323_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_low_lr_p512_s42,20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,w_cw_adamw_low_lr_p512,0.04047641620195175,resnet50+mobilenet_v2,df,0.8571428571428571,0.6,0.7058823529411765,20,0.6875,0.55,0.6111111111111112,0.09477124183006536,0.1696428571428571,0.04999999999999993
20260531_213323_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_low_lr_p512_s42,20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,w_cw_adamw_low_lr_p512,0.04047641620195175,resnet50+mobilenet_v2,bkl,0.6232876712328768,0.5449101796407185,0.5814696485623003,167,0.6028368794326241,0.5089820359281437,0.551948051948052,0.029521596614248358,0.020450791800252666,0.0359281437125748
20260531_213323_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_low_lr_p512_s42,20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,w_cw_adamw_low_lr_p512,0.04047641620195175,resnet50+mobilenet_v2,bcc,0.684931506849315,0.704225352112676,0.6944444444444444,71,0.6621621621621622,0.6901408450704225,0.6758620689655173,0.01858237547892716,0.02276934468715286,0.014084507042253502
20260531_213323_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_low_lr_p512_s42,20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,w_cw_adamw_low_lr_p512,0.04047641620195175,resnet50+mobilenet_v2,akiec,0.5441176470588235,0.7115384615384616,0.6166666666666667,52,0.5076923076923077,0.6346153846153846,0.5641025641025641,0.0525641025641026,0.03642533936651582,0.07692307692307698
