display_name,backbone_combination,fusion_method,run_id,candidate_name,candidate_profile,canonical_run_id,best_val_macro_f1,canonical_best_val_macro_f1,val_macro_f1_gain,accuracy,canonical_accuracy,accuracy_gain,macro_f1,canonical_macro_f1,macro_f1_gain,weighted_f1,canonical_weighted_f1,weighted_f1_gain,runtime_seconds
r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,w_cw_adamw_low_lr_p512,w_cw_adamw_low_lr,20260529_173817_finetuned_r50-mnv2-effb0_weighted_mlp_s42,0.6802763048359945,0.6461912447438763,0.0340850600921182,0.8015978695073236,0.800266311584554,0.0013315579227696217,0.6989555485753057,0.6867827900397871,0.01217275853551858,0.8078492311362607,0.8015411793906424,0.006308051745618326,31.9397072091233
mnv2+effb0 concat,mobilenet_v2+efficientnet_b0,concat,20260531_213223_finetuned_mnv2-effb0_concat_mlp_nocw_adamw_base_s42,nocw_adamw_base,nocw_adamw_base,20260529_173748_finetuned_mnv2-effb0_concat_mlp_s42,0.650878277012449,0.6168746509915232,0.03400362602092588,0.8062583222370173,0.7163781624500666,0.08988015978695074,0.6511408743349193,0.601564531147144,0.04957634318777526,0.800093064666086,0.7373879584152812,0.06270510625080483,10.3359757498838
r50+effb0 concat,resnet50+efficientnet_b0,concat,20260531_213213_finetuned_r50-effb0_concat_mlp_cw_adamw_small_s42,cw_adamw_small,cw_adamw_small,20260529_173730_finetuned_r50-effb0_concat_mlp_s42,0.6592631378080261,0.6371610461645419,0.0221020916434842,0.7876165113182424,0.7922769640479361,-0.0046604527296937315,0.674744494206861,0.6787325242339214,-0.003988030027060385,0.7943991930023041,0.7981244275676345,-0.00372523456533036,7.090370666934177
mnv2+effb0 weighted,mobilenet_v2+efficientnet_b0,weighted,20260531_213445_finetuned_mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,w_cw_adamw_low_lr_p512,w_cw_adamw_low_lr,20260529_173756_finetuned_mnv2-effb0_weighted_mlp_s42,0.6238670618020938,0.6044370886067433,0.01942997319535056,0.748335552596538,0.7057256990679095,0.04260985352862845,0.6413187587556893,0.5940426542458282,0.04727610450986108,0.7647358161454494,0.7290613682718625,0.03567444787358687,20.589657375123352
effb0,efficientnet_b0,none,20260531_213108_finetuned_effb0_none_mlp_nocw_adamw_base_s42,nocw_adamw_base,nocw_adamw_base,20260529_173652_finetuned_effb0_none_mlp_s42,0.5761126350545925,0.5599831007389472,0.016129534315645344,0.7816245006657789,0.7490013315579228,0.03262316910785612,0.6127463897479404,0.5957337752121764,0.01701261453576397,0.768554865328464,0.7598566316951374,0.008698233633326558,7.7246040829923
r50,resnet50,none,20260531_213037_finetuned_r50_none_mlp_nocw_adamw_base_s42,nocw_adamw_base,nocw_adamw_base,20260529_173629_finetuned_r50_none_mlp_s42,0.6530738191808517,0.6458333941339982,0.007240425046853516,0.8069241011984021,0.7756324900133156,0.0312916111850865,0.684338266070566,0.6577546004544469,0.026583665616119134,0.7981066118944053,0.7850908394351291,0.01301577245927621,8.578658250160515
mnv2,mobilenet_v2,none,20260531_213101_finetuned_mnv2_none_mlp_cw_adamw_small_s42,cw_adamw_small,cw_adamw_small,20260529_173640_finetuned_mnv2_none_mlp_s42,0.6356641758218401,0.6290972723511323,0.006566903470707763,0.7250332889480693,0.7343541944074568,-0.009320905459387463,0.5795560309302884,0.5749695585555911,0.004586472374697337,0.7454538166850597,0.7503753841626157,-0.00492156747755601,7.247339125024155
r50+mnv2+effb0 concat,resnet50+mobilenet_v2+efficientnet_b0,concat,20260531_213247_finetuned_r50-mnv2-effb0_concat_mlp_nocw_adamw_base_s42,nocw_adamw_base,nocw_adamw_base,20260529_173806_finetuned_r50-mnv2-effb0_concat_mlp_s42,0.6600120683298158,0.6552454467854106,0.004766621544405214,0.8122503328894807,0.810918774966711,0.0013315579227696217,0.6879632412708778,0.7059113258715694,-0.017948084600691527,0.8067332854188961,0.8128550545674091,-0.006121769148513034,10.812018583063036
r50+effb0 weighted,resnet50+efficientnet_b0,weighted,20260531_213424_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,w_cw_adamw_base_p1024,w_cw_adamw_base,20260529_173742_finetuned_r50-effb0_weighted_mlp_s42,0.6459440530523208,0.6414642269855543,0.004479826066766557,0.8009320905459387,0.7942743009320905,0.0066577896138482195,0.6605081668016709,0.6976650579184576,-0.03715689111678666,0.8024940953306942,0.8024896420508434,4.453279850769043e-06,31.771487958030775
r50+mnv2 concat,resnet50+mobilenet_v2,concat,20260531_213138_finetuned_r50-mnv2_concat_mlp_nocw_adamw_base_s42,nocw_adamw_base,nocw_adamw_base,20260529_173707_finetuned_r50-mnv2_concat_mlp_s42,0.6487909807766484,0.6473257154109608,0.0014652653656875847,0.8015978695073236,0.7862849533954727,0.015312916111850927,0.6571944109004308,0.6852993171057028,-0.02810490620527195,0.7969674081309626,0.7951656832114966,0.0018017249194659524,17.36486899992451
r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,20260531_213323_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_low_lr_p512_s42,w_cw_adamw_low_lr_p512,w_cw_adamw_low_lr,20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,0.6526289758352787,0.6664562329200016,-0.013827257084722877,0.8029294274300932,0.7676431424766977,0.035286284953395475,0.6916526169137983,0.6511762007118466,0.04047641620195175,0.8015546316881205,0.7749477939945739,0.026606837693546548,27.118141582934186
