candidate_name,weight_type,class_name,backbone,weight
weighted_none_p512_low_lr,global,global,resnet50,0.3360907733440399
weighted_none_p512_low_lr,global,global,mobilenet_v2,0.31984829902648926
weighted_none_p512_low_lr,global,global,efficientnet_b0,0.3440609574317932
weighted_standardize_p512_low_lr,global,global,resnet50,0.3502090573310852
weighted_standardize_p512_low_lr,global,global,mobilenet_v2,0.3209756016731262
weighted_standardize_p512_low_lr,global,global,efficientnet_b0,0.3288153409957886
weighted_l2_p512_low_lr,global,global,resnet50,0.3574133515357971
weighted_l2_p512_low_lr,global,global,mobilenet_v2,0.3110339641571045
weighted_l2_p512_low_lr,global,global,efficientnet_b0,0.3315527141094208
weighted_standardize_p1024_low_lr,global,global,resnet50,0.35302647948265076
weighted_standardize_p1024_low_lr,global,global,mobilenet_v2,0.3191203474998474
weighted_standardize_p1024_low_lr,global,global,efficientnet_b0,0.32785317301750183
weighted_standardize_p1024_reg,global,global,resnet50,0.3489188849925995
weighted_standardize_p1024_reg,global,global,mobilenet_v2,0.31138184666633606
weighted_standardize_p1024_reg,global,global,efficientnet_b0,0.33969929814338684
weighted_l2_p1024_low_lr,global,global,resnet50,0.3573843240737915
weighted_l2_p1024_low_lr,global,global,mobilenet_v2,0.3177822232246399
weighted_l2_p1024_low_lr,global,global,efficientnet_b0,0.3248334527015686
perclass_standardize_p512,per_class,akiec,resnet50,0.3721633553504944
perclass_standardize_p512,per_class,bcc,resnet50,0.3802061975002289
perclass_standardize_p512,per_class,bkl,resnet50,0.3881407678127289
perclass_standardize_p512,per_class,df,resnet50,0.3511895537376404
perclass_standardize_p512,per_class,nv,resnet50,0.3469898998737335
perclass_standardize_p512,per_class,mel,resnet50,0.383562833070755
perclass_standardize_p512,per_class,vasc,resnet50,0.36148181557655334
perclass_standardize_p512,per_class,akiec,mobilenet_v2,0.31282132863998413
perclass_standardize_p512,per_class,bcc,mobilenet_v2,0.30514082312583923
perclass_standardize_p512,per_class,bkl,mobilenet_v2,0.3001473844051361
perclass_standardize_p512,per_class,df,mobilenet_v2,0.32462748885154724
perclass_standardize_p512,per_class,nv,mobilenet_v2,0.3297915458679199
perclass_standardize_p512,per_class,mel,mobilenet_v2,0.30304768681526184
perclass_standardize_p512,per_class,vasc,mobilenet_v2,0.31715771555900574
perclass_standardize_p512,per_class,akiec,efficientnet_b0,0.3150152862071991
perclass_standardize_p512,per_class,bcc,efficientnet_b0,0.31465306878089905
perclass_standardize_p512,per_class,bkl,efficientnet_b0,0.3117118179798126
perclass_standardize_p512,per_class,df,efficientnet_b0,0.3241828978061676
perclass_standardize_p512,per_class,nv,efficientnet_b0,0.32321852445602417
perclass_standardize_p512,per_class,mel,efficientnet_b0,0.31338953971862793
perclass_standardize_p512,per_class,vasc,efficientnet_b0,0.32136043906211853
perclass_l2_p512,per_class,akiec,resnet50,0.3602149486541748
perclass_l2_p512,per_class,bcc,resnet50,0.3670424520969391
perclass_l2_p512,per_class,bkl,resnet50,0.37038183212280273
perclass_l2_p512,per_class,df,resnet50,0.34654664993286133
perclass_l2_p512,per_class,nv,resnet50,0.34245359897613525
perclass_l2_p512,per_class,mel,resnet50,0.37161344289779663
perclass_l2_p512,per_class,vasc,resnet50,0.3550969958305359
perclass_l2_p512,per_class,akiec,mobilenet_v2,0.31854358315467834
perclass_l2_p512,per_class,bcc,mobilenet_v2,0.3150501847267151
perclass_l2_p512,per_class,bkl,mobilenet_v2,0.3119392395019531
perclass_l2_p512,per_class,df,mobilenet_v2,0.32726937532424927
perclass_l2_p512,per_class,nv,mobilenet_v2,0.3315543234348297
perclass_l2_p512,per_class,mel,mobilenet_v2,0.3117598593235016
perclass_l2_p512,per_class,vasc,mobilenet_v2,0.3213493525981903
perclass_l2_p512,per_class,akiec,efficientnet_b0,0.32124143838882446
perclass_l2_p512,per_class,bcc,efficientnet_b0,0.3179073631763458
perclass_l2_p512,per_class,bkl,efficientnet_b0,0.31767889857292175
perclass_l2_p512,per_class,df,efficientnet_b0,0.3261839747428894
perclass_l2_p512,per_class,nv,efficientnet_b0,0.32599207758903503
perclass_l2_p512,per_class,mel,efficientnet_b0,0.3166266977787018
perclass_l2_p512,per_class,vasc,efficientnet_b0,0.3235536217689514
weighted_standardize_p512_focal,global,global,resnet50,0.3468770384788513
weighted_standardize_p512_focal,global,global,mobilenet_v2,0.32073545455932617
weighted_standardize_p512_focal,global,global,efficientnet_b0,0.3323875069618225
weighted_standardize_p512_smooth,global,global,resnet50,0.34727346897125244
weighted_standardize_p512_smooth,global,global,mobilenet_v2,0.32000261545181274
weighted_standardize_p512_smooth,global,global,efficientnet_b0,0.3327239453792572
perclass_standardize_p512_focal,per_class,akiec,resnet50,0.37628522515296936
perclass_standardize_p512_focal,per_class,bcc,resnet50,0.38199853897094727
perclass_standardize_p512_focal,per_class,bkl,resnet50,0.3879097104072571
perclass_standardize_p512_focal,per_class,df,resnet50,0.3531041443347931
perclass_standardize_p512_focal,per_class,nv,resnet50,0.35831546783447266
perclass_standardize_p512_focal,per_class,mel,resnet50,0.38547518849372864
perclass_standardize_p512_focal,per_class,vasc,resnet50,0.3627993166446686
perclass_standardize_p512_focal,per_class,akiec,mobilenet_v2,0.30813664197921753
perclass_standardize_p512_focal,per_class,bcc,mobilenet_v2,0.30442550778388977
perclass_standardize_p512_focal,per_class,bkl,mobilenet_v2,0.2974921464920044
perclass_standardize_p512_focal,per_class,df,mobilenet_v2,0.3220941424369812
perclass_standardize_p512_focal,per_class,nv,mobilenet_v2,0.3259383738040924
perclass_standardize_p512_focal,per_class,mel,mobilenet_v2,0.30024757981300354
perclass_standardize_p512_focal,per_class,vasc,mobilenet_v2,0.3167155385017395
perclass_standardize_p512_focal,per_class,akiec,efficientnet_b0,0.3155781030654907
perclass_standardize_p512_focal,per_class,bcc,efficientnet_b0,0.3135759234428406
perclass_standardize_p512_focal,per_class,bkl,efficientnet_b0,0.31459811329841614
perclass_standardize_p512_focal,per_class,df,efficientnet_b0,0.3248017132282257
perclass_standardize_p512_focal,per_class,nv,efficientnet_b0,0.31574615836143494
perclass_standardize_p512_focal,per_class,mel,efficientnet_b0,0.31427720189094543
perclass_standardize_p512_focal,per_class,vasc,efficientnet_b0,0.3204851448535919
