candidate_name,family,fusion_method,normalization,loss,split,label,precision,recall,f1,support,weighted_baseline_f1,f1_gain_vs_weighted_baseline
concat_none_base,concat_baseline,concat,none,weighted_ce,val,akiec,0.4925373134328358,0.6226415094339622,0.55,53,0.5333333333333333,0.01666666666666672
concat_none_base,concat_baseline,concat,none,weighted_ce,val,bcc,0.6666666666666666,0.7317073170731707,0.6976744186046512,82,0.7294117647058823,-0.031737346101231134
concat_none_base,concat_baseline,concat,none,weighted_ce,val,bkl,0.5867346938775511,0.71875,0.6460674157303371,160,0.640625,0.005442415730337102
concat_none_base,concat_baseline,concat,none,weighted_ce,val,df,0.6923076923076923,0.375,0.4864864864864865,24,0.5581395348837209,-0.07165304839723441
concat_none_base,concat_baseline,concat,none,weighted_ce,val,nv,0.9276111685625646,0.881139489194499,0.9037783375314862,1018,0.8990825688073395,0.004695768724146676
concat_none_base,concat_baseline,concat,none,weighted_ce,val,mel,0.5775401069518716,0.6242774566473989,0.6,173,0.6106442577030813,-0.010644257703081306
concat_none_base,concat_baseline,concat,none,weighted_ce,val,vasc,0.8333333333333334,0.4545454545454545,0.5882352941176471,22,0.7906976744186046,-0.20246238030095753
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,val,akiec,0.5686274509803921,0.5471698113207547,0.5576923076923077,53,0.5333333333333333,0.024358974358974383
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,val,bcc,0.6354166666666666,0.7439024390243902,0.6853932584269663,82,0.7294117647058823,-0.044018506278916014
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,val,bkl,0.6243386243386243,0.7375,0.6762177650429799,160,0.640625,0.035592765042979924
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,val,df,0.5789473684210527,0.4583333333333333,0.5116279069767442,24,0.5581395348837209,-0.046511627906976716
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,val,nv,0.936965811965812,0.8614931237721022,0.8976458546571137,1018,0.8990825688073395,-0.0014367141502258374
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,val,mel,0.5309734513274337,0.6936416184971098,0.6015037593984962,173,0.6106442577030813,-0.009140498304585076
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,val,vasc,0.8666666666666667,0.5909090909090909,0.7027027027027027,22,0.7906976744186046,-0.08799497171590187
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,val,akiec,0.4285714285714285,0.7358490566037735,0.5416666666666666,53,0.5333333333333333,0.008333333333333304
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,val,bcc,0.6526315789473685,0.7560975609756098,0.7005649717514124,82,0.7294117647058823,-0.028846792954469902
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,val,bkl,0.5792349726775956,0.6625,0.6180758017492711,160,0.640625,-0.022549198250728875
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,val,df,0.6190476190476191,0.5416666666666666,0.5777777777777777,24,0.5581395348837209,0.0196382428940568
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,val,nv,0.9333333333333332,0.8526522593320236,0.891170431211499,1018,0.8990825688073395,-0.00791213759584053
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,val,mel,0.5634517766497462,0.6416184971098265,0.6,173,0.6106442577030813,-0.010644257703081306
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,val,vasc,0.8666666666666667,0.5909090909090909,0.7027027027027027,22,0.7906976744186046,-0.08799497171590187
weighted_none_p512_low_lr,weighted_normalized,weighted,none,weighted_ce,val,akiec,0.5384615384615384,0.5283018867924528,0.5333333333333333,53,0.5333333333333333,0.0
weighted_none_p512_low_lr,weighted_normalized,weighted,none,weighted_ce,val,bcc,0.7045454545454546,0.7560975609756098,0.7294117647058823,82,0.7294117647058823,0.0
weighted_none_p512_low_lr,weighted_normalized,weighted,none,weighted_ce,val,bkl,0.5491071428571429,0.76875,0.640625,160,0.640625,0.0
weighted_none_p512_low_lr,weighted_normalized,weighted,none,weighted_ce,val,df,0.631578947368421,0.5,0.5581395348837209,24,0.5581395348837209,0.0
weighted_none_p512_low_lr,weighted_normalized,weighted,none,weighted_ce,val,nv,0.934322033898305,0.8664047151277013,0.8990825688073395,1018,0.8990825688073395,0.0
weighted_none_p512_low_lr,weighted_normalized,weighted,none,weighted_ce,val,mel,0.592391304347826,0.630057803468208,0.6106442577030813,173,0.6106442577030813,0.0
weighted_none_p512_low_lr,weighted_normalized,weighted,none,weighted_ce,val,vasc,0.8095238095238095,0.7727272727272727,0.7906976744186046,22,0.7906976744186046,0.0
weighted_standardize_p512_low_lr,weighted_normalized,weighted,standardize_per_backbone,weighted_ce,val,akiec,0.4333333333333333,0.7358490566037735,0.5454545454545454,53,0.5333333333333333,0.012121212121212088
weighted_standardize_p512_low_lr,weighted_normalized,weighted,standardize_per_backbone,weighted_ce,val,bcc,0.7058823529411765,0.7317073170731707,0.718562874251497,82,0.7294117647058823,-0.010848890454385307
weighted_standardize_p512_low_lr,weighted_normalized,weighted,standardize_per_backbone,weighted_ce,val,bkl,0.5436893203883495,0.7,0.6120218579234973,160,0.640625,-0.02860314207650272
weighted_standardize_p512_low_lr,weighted_normalized,weighted,standardize_per_backbone,weighted_ce,val,df,0.5882352941176471,0.4166666666666667,0.4878048780487805,24,0.5581395348837209,-0.07033465683494045
weighted_standardize_p512_low_lr,weighted_normalized,weighted,standardize_per_backbone,weighted_ce,val,nv,0.9385964912280702,0.8408644400785854,0.8870466321243523,1018,0.8990825688073395,-0.012035936682987192
weighted_standardize_p512_low_lr,weighted_normalized,weighted,standardize_per_backbone,weighted_ce,val,mel,0.5445544554455446,0.6358381502890174,0.5866666666666667,173,0.6106442577030813,-0.023977591036414614
