candidate_name,family,split,run_id,run_dir,feature_source,backbone_combination,fusion_method,normalization,loss,projection_dim,learning_rate,weight_decay,dropout,hidden_dims,class_weighting,best_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,matched_baseline_macro_f1,val_macro_f1_gain,canonical_sprint4_test_macro_f1,accuracy_gain,weighted_f1_gain,gate_pass
concat_standardize_base,concat_normalized,val,20260602_181404_finetuned_r50-mnv2-effb0_concat_standardize_base_s42,artifacts/runs/sprint4e_fusion_diagnostic/20260602_181404_finetuned_r50-mnv2-effb0_concat_standardize_base_s42,finetuned,resnet50+mobilenet_v2+efficientnet_b0,concat,standardize_per_backbone,weighted_ce,,0.001,0.0001,0.3,"[512, 256]",True,6,0.8022193211488251,0.6774194343380925,0.6618499166938259,0.6618262221281873,0.8229677602039307,0.8022193211488251,0.8091102751627696,0.6388917074958013,0.02293451463238605,0.7059113258715694,-0.001958224543080922,0.000890112894001871,True
concat_l2_base,concat_normalized,val,20260602_181449_finetuned_r50-mnv2-effb0_concat_l2_base_s42,artifacts/runs/sprint4e_fusion_diagnostic/20260602_181449_finetuned_r50-mnv2-effb0_concat_l2_base_s42,finetuned,resnet50+mobilenet_v2+efficientnet_b0,concat,l2_per_backbone,weighted_ce,,0.001,0.0001,0.3,"[512, 256]",True,3,0.7911227154046997,0.6632767679848227,0.6830418759424273,0.6617083359799043,0.8162153857923852,0.7911227154046997,0.7998592783265434,0.6388917074958013,0.02281662848410304,0.7059113258715694,-0.013054830287206332,-0.00836088394222434,True
