run_id,display_name,backbone_combination,fusion_method,backbone_count,avg_pairwise_representation_similarity,avg_pairwise_representation_complementarity,macro_f1,macro_f1_gain
20260602_202938_finetuned_augmented_r50-mnv2-effb0_concat_mlp_s42,r50+mnv2+effb0 concat,resnet50+mobilenet_v2+efficientnet_b0,concat,3,0.593740236672657,0.406259763327343,0.6451357086041887,0.05588696593745479
20260602_202954_finetuned_augmented_r50-mnv2-effb0_weighted_mlp_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,3,0.593740236672657,0.406259763327343,0.6151688297002503,0.025920087033516448
