run_id,display_name,backbone_combination,fusion_method,backbone,weight,weight_sum
20260603_004059_finetuned_targeted_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,resnet50,0.4741197526454925,0.9999999701976776
20260603_004059_finetuned_targeted_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,mobilenet_v2,0.5258802175521851,0.9999999701976776
20260603_004124_finetuned_targeted_r50-effb0_weighted_mlp_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.4904437959194183,1.0000000298023224
20260603_004124_finetuned_targeted_r50-effb0_weighted_mlp_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.509556233882904,1.0000000298023224
20260603_004141_finetuned_targeted_mnv2-effb0_weighted_mlp_s42,mnv2+effb0 weighted,mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.5082862973213196,1.0
20260603_004141_finetuned_targeted_mnv2-effb0_weighted_mlp_s42,mnv2+effb0 weighted,mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.4917137026786804,1.0
20260603_004207_finetuned_targeted_r50-mnv2-effb0_weighted_mlp_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,resnet50,0.340139627456665,1.0000000298023224
20260603_004207_finetuned_targeted_r50-mnv2-effb0_weighted_mlp_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.3290627896785736,1.0000000298023224
20260603_004207_finetuned_targeted_r50-mnv2-effb0_weighted_mlp_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.3307976126670837,1.0000000298023224
