run_id,backbone,backbones,backbone_combination,backbone_count,feature_source,fusion_method,seed,feature_dim,fusion_input_dim,fusion_output_dim,projection_dim,class_weighting,optimizer,learning_rate,weight_decay,dropout,hidden_dims,experiment_name,run_tag,best_val_macro_f1,best_val_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
20260529_171359_finetuned_effb0_none_mlp_s42,efficientnet_b0,"[""efficientnet_b0""]",efficientnet_b0,1,finetuned,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_baseline,,0.5599831007389472,11,0.7490013315579228,0.5855216947409411,0.6231349476054939,0.5957337752121764,0.7598566316951374
20260529_173652_finetuned_effb0_none_mlp_s42,efficientnet_b0,"[""efficientnet_b0""]",efficientnet_b0,1,finetuned,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_baseline,,0.5599831007389472,11,0.7490013315579228,0.5855216947409411,0.6231349476054939,0.5957337752121764,0.7598566316951374
20260529_171346_finetuned_mnv2_none_mlp_s42,mobilenet_v2,"[""mobilenet_v2""]",mobilenet_v2,1,finetuned,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_baseline,,0.6290972723511323,8,0.7343541944074568,0.5335891093772684,0.6451872053184271,0.5749695585555911,0.7503753841626157
20260529_173640_finetuned_mnv2_none_mlp_s42,mobilenet_v2,"[""mobilenet_v2""]",mobilenet_v2,1,finetuned,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_baseline,,0.6290972723511323,8,0.7343541944074568,0.5335891093772684,0.6451872053184271,0.5749695585555911,0.7503753841626157
20260529_171336_finetuned_r50_none_mlp_s42,resnet50,"[""resnet50""]",resnet50,1,finetuned,none,42,2048,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_baseline,,0.6458333941339982,6,0.7756324900133156,0.6424653431141152,0.6854701497063195,0.6577546004544469,0.7850908394351291
20260529_173629_finetuned_r50_none_mlp_s42,resnet50,"[""resnet50""]",resnet50,1,finetuned,none,42,2048,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_baseline,,0.6458333941339982,6,0.7756324900133156,0.6424653431141152,0.6854701497063195,0.6577546004544469,0.7850908394351291
