feature_source,source_label,backbone,run_id,canonical_run_id,best_val_macro_f1,canonical_best_val_macro_f1,val_macro_f1_gain,accuracy,canonical_accuracy,accuracy_gain,macro_f1,canonical_macro_f1,macro_f1_gain,weighted_f1,canonical_weighted_f1,weighted_f1_gain
finetuned_classaware,Sprint 4B class-aware,efficientnet_b0,20260531_134600_finetuned_classaware_effb0_none_mlp_s42,20260529_173652_finetuned_effb0_none_mlp_s42,0.5689631391203409,0.5599831007389472,0.008980038381393718,0.7350199733688415,0.7490013315579228,-0.013981358189081305,0.6189619630415101,0.5957337752121764,0.02322818782933367,0.7535424076699566,0.7598566316951374,-0.006314224025180781
finetuned_classaware,Sprint 4B class-aware,mobilenet_v2,20260531_134554_finetuned_classaware_mnv2_none_mlp_s42,20260529_173640_finetuned_mnv2_none_mlp_s42,0.6280914717321956,0.6290972723511323,-0.0010058006189367363,0.751664447403462,0.7343541944074568,0.017310252996005304,0.5917226822514776,0.5749695585555911,0.01675312369588655,0.7622700213406629,0.7503753841626157,0.011894637178047174
finetuned_deeper,Sprint 4B deeper,resnet50,20260531_135822_finetuned_deeper_r50_none_mlp_s42,20260529_173629_finetuned_r50_none_mlp_s42,0.6455319666014951,0.6458333941339982,-0.0003014275325030624,0.7909454061251664,0.7756324900133156,0.015312916111850816,0.6884513728001701,0.6577546004544469,0.03069677234572321,0.7966201888629787,0.7850908394351291,0.011529349427849556
