run_id,backbone,backbones,backbone_combination,backbone_count,feature_source,fusion_method,seed,feature_dim,fusion_input_dim,fusion_output_dim,projection_dim,class_weighting,optimizer,learning_rate,weight_decay,dropout,hidden_dims,experiment_name,run_tag,search_stage,candidate_name,candidate_profile,runtime_seconds,planned_index,best_val_macro_f1,best_val_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,experiment_group,short_name,display_name,best_single_macro_f1,macro_f1_gain
20260602_202938_finetuned_augmented_r50-mnv2-effb0_concat_mlp_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned_augmented,concat,42,4608,4608.0,4608.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4f_augmented_feature_matrix,,,,,,,0.6615624142129377,11,0.7862849533954727,0.6434639046175809,0.6605536760182961,0.6451357086041887,0.7899363173927578,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat,0.5892487426667339,0.05588696593745479
20260602_202954_finetuned_augmented_r50-mnv2-effb0_weighted_mlp_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned_augmented,weighted,42,512,4608.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4f_augmented_feature_matrix,,,,,,,0.6386616817923603,9,0.7756324900133156,0.5993294867896556,0.6389560711717523,0.6151688297002503,0.7748514830743498,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted,0.5892487426667339,0.025920087033516448
