run_id,display_name,backbone_combination,fusion_method,macro_f1,backbone,label,precision,recall,f1,support,feature_source,class_f1_gain,class_precision_gain,class_recall_gain,macro_f1_gain,frozen_f1,frozen_precision,frozen_recall,source_display_name
20260529_173652_finetuned_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5957337752121764,efficientnet_b0,akiec,0.4268292682926829,0.6730769230769231,0.5223880597014925,52,finetuned,0.06624770882429959,0.09909817585570813,-0.07692307692307687,0.08928029859488085,0.4561403508771929,0.3277310924369748,0.75,fine-tuned effb0
20260529_173652_finetuned_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5957337752121764,efficientnet_b0,bcc,0.4752475247524752,0.676056338028169,0.5581395348837209,71,finetuned,0.04882276469738556,0.019691969196919734,0.09859154929577463,0.08928029859488085,0.5093167701863354,0.4555555555555555,0.5774647887323944,fine-tuned effb0
20260529_173652_finetuned_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5957337752121764,efficientnet_b0,bkl,0.536144578313253,0.5329341317365269,0.5345345345345346,167,finetuned,0.07210678886979471,0.08921720401157712,0.05389221556886231,0.08928029859488085,0.4624277456647399,0.4469273743016759,0.4790419161676646,fine-tuned effb0
20260529_173652_finetuned_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5957337752121764,efficientnet_b0,df,0.4210526315789473,0.4,0.4102564102564102,20,finetuned,0.2564102564102564,0.2631578947368421,0.25,0.08928029859488085,0.1538461538461538,0.1578947368421052,0.15,fine-tuned effb0
20260529_173652_finetuned_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5957337752121764,efficientnet_b0,mel,0.4378109452736318,0.5269461077844312,0.4782608695652174,167,finetuned,0.0300680984808801,0.06281094527363179,-0.029940119760478945,0.08928029859488085,0.4481927710843373,0.375,0.5568862275449101,fine-tuned effb0
20260529_173652_finetuned_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5957337752121764,efficientnet_b0,nv,0.9192139737991266,0.8386454183266933,0.8770833333333333,1004,finetuned,0.028499455337690605,-0.017084103123950145,0.0627490039840638,0.08928029859488085,0.8485838779956427,0.9362980769230768,0.7758964143426295,fine-tuned effb0
20260529_173652_finetuned_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5957337752121764,efficientnet_b0,vasc,0.8823529411764706,0.7142857142857143,0.7894736842105263,21,finetuned,0.1228070175438597,0.08235294117647052,0.1428571428571429,0.08928029859488085,0.6666666666666666,0.8,0.5714285714285714,fine-tuned effb0
20260529_173640_finetuned_mnv2_none_mlp_s42,mnv2,mobilenet_v2,none,0.5749695585555911,mobilenet_v2,akiec,0.4269662921348314,0.7307692307692307,0.5390070921985816,52,finetuned,0.21292013567684248,0.05196629213483139,0.44230769230769235,0.10744330645204342,0.3260869565217391,0.375,0.2884615384615384,fine-tuned mnv2
20260529_173640_finetuned_mnv2_none_mlp_s42,mnv2,mobilenet_v2,none,0.5749695585555911,mobilenet_v2,bcc,0.5102040816326531,0.704225352112676,0.591715976331361,71,finetuned,0.12112774103724339,0.13089373680506688,0.08450704225352113,0.10744330645204342,0.4705882352941176,0.3793103448275862,0.6197183098591549,fine-tuned mnv2
20260529_173640_finetuned_mnv2_none_mlp_s42,mnv2,mobilenet_v2,none,0.5749695585555911,mobilenet_v2,bkl,0.5612903225806452,0.5209580838323353,0.5403726708074534,167,finetuned,0.09474932863238716,0.16129032258064513,0.017964071856287456,0.10744330645204342,0.4456233421750663,0.4,0.5029940119760479,fine-tuned mnv2
