run_id,display_name,backbone_combination,fusion_method,macro_f1,backbone,label,precision,recall,f1,support
20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,0.6511762007118466,resnet50+mobilenet_v2,bcc,0.6621621621621622,0.6901408450704225,0.6758620689655173,71
20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,0.6511762007118466,resnet50+mobilenet_v2,bkl,0.6028368794326241,0.5089820359281437,0.551948051948052,167
20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,0.6511762007118466,resnet50+mobilenet_v2,df,0.6875,0.55,0.6111111111111112,20
20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,0.6511762007118466,resnet50+mobilenet_v2,nv,0.905163329820864,0.8555776892430279,0.8796722990271377,1004
20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,0.6511762007118466,resnet50+mobilenet_v2,mel,0.4219409282700422,0.5988023952095808,0.495049504950495,167
20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,r50+mnv2 weighted,resnet50+mobilenet_v2,weighted,0.6511762007118466,resnet50+mobilenet_v2,vasc,0.8,0.7619047619047619,0.7804878048780488,21
20260529_173730_finetuned_r50-effb0_concat_mlp_s42,r50+effb0 concat,resnet50+efficientnet_b0,concat,0.6787325242339214,resnet50+efficientnet_b0,akiec,0.5066666666666667,0.7307692307692307,0.5984251968503937,52
20260529_173730_finetuned_r50-effb0_concat_mlp_s42,r50+effb0 concat,resnet50+efficientnet_b0,concat,0.6787325242339214,resnet50+efficientnet_b0,bcc,0.7,0.6901408450704225,0.6950354609929078,71
20260529_173730_finetuned_r50-effb0_concat_mlp_s42,r50+effb0 concat,resnet50+efficientnet_b0,concat,0.6787325242339214,resnet50+efficientnet_b0,bkl,0.592814371257485,0.592814371257485,0.592814371257485,167
20260529_173730_finetuned_r50-effb0_concat_mlp_s42,r50+effb0 concat,resnet50+efficientnet_b0,concat,0.6787325242339214,resnet50+efficientnet_b0,df,0.6875,0.55,0.6111111111111112,20
20260529_173730_finetuned_r50-effb0_concat_mlp_s42,r50+effb0 concat,resnet50+efficientnet_b0,concat,0.6787325242339214,resnet50+efficientnet_b0,nv,0.917981072555205,0.8695219123505976,0.8930946291560102,1004
20260529_173730_finetuned_r50-effb0_concat_mlp_s42,r50+effb0 concat,resnet50+efficientnet_b0,concat,0.6787325242339214,resnet50+efficientnet_b0,mel,0.5098039215686274,0.6227544910179641,0.5606469002695418,167
20260529_173730_finetuned_r50-effb0_concat_mlp_s42,r50+effb0 concat,resnet50+efficientnet_b0,concat,0.6787325242339214,resnet50+efficientnet_b0,vasc,0.8421052631578947,0.7619047619047619,0.8,21
20260529_173742_finetuned_r50-effb0_weighted_mlp_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,0.6976650579184576,resnet50+efficientnet_b0,akiec,0.6029411764705882,0.7884615384615384,0.6833333333333333,52
20260529_173742_finetuned_r50-effb0_weighted_mlp_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,0.6976650579184576,resnet50+efficientnet_b0,bcc,0.7142857142857143,0.704225352112676,0.7092198581560284,71
20260529_173742_finetuned_r50-effb0_weighted_mlp_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,0.6976650579184576,resnet50+efficientnet_b0,bkl,0.6043956043956044,0.6586826347305389,0.6303724928366762,167
