run_id,backbone,backbones,backbone_combination,backbone_count,feature_source,fusion_method,seed,feature_dim,fusion_input_dim,fusion_output_dim,projection_dim,class_weighting,optimizer,learning_rate,weight_decay,dropout,hidden_dims,experiment_name,run_tag,best_val_macro_f1,best_val_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,experiment_group,short_name,display_name,best_single_macro_f1,macro_f1_gain
20260527_161410_frozen_r50-mnv2_concat_mlp_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,frozen,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint3_frozen_fusion,,0.5579080106847681,17,0.7430093209054593,0.5162688448760312,0.5814175259987692,0.5434549160409289,0.7510475822675491,pairwise,r50+mnv2 concat,r50+mnv2 concat,0.5310806526417284,0.012374263399200447
20260527_161438_frozen_r50-mnv2_weighted_mlp_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,frozen,weighted,42,512,3328.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint3_frozen_fusion,,0.5451679114014988,11,0.7103861517976032,0.4972158718234808,0.5554171959415117,0.5198201002575218,0.7258947315282556,pairwise,r50+mnv2 weighted,r50+mnv2 weighted,0.5310806526417284,-0.011260552384206646
20260527_161503_frozen_r50-effb0_concat_mlp_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,frozen,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint3_frozen_fusion,,0.5936394433133397,11,0.7463382157123835,0.5504092384985491,0.6686333352080057,0.595200020681105,0.7603048363812186,pairwise,r50+effb0 concat,r50+effb0 concat,0.5310806526417284,0.06411936803937657
20260527_161529_frozen_r50-effb0_weighted_mlp_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,frozen,weighted,42,512,3328.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint3_frozen_fusion,,0.5603392457791483,11,0.6850865512649801,0.498482382314628,0.5986857073916659,0.53205811434532,0.7110344320750607,pairwise,r50+effb0 weighted,r50+effb0 weighted,0.5310806526417284,0.0009774617035915867
20260527_161601_frozen_mnv2-effb0_concat_mlp_s42,,"[""mobilenet_v2"", ""efficientnet_b0""]",mobilenet_v2+efficientnet_b0,2,frozen,concat,42,2560,2560.0,2560.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint3_frozen_fusion,,0.5767148570377171,17,0.7316910785619174,0.524404823496056,0.5572562892298948,0.5305046319943283,0.7439511590489544,pairwise,mnv2+effb0 concat,mnv2+effb0 concat,0.5310806526417284,-0.0005760206474001439
20260527_161627_frozen_mnv2-effb0_weighted_mlp_s42,,"[""mobilenet_v2"", ""efficientnet_b0""]",mobilenet_v2+efficientnet_b0,2,frozen,weighted,42,512,2560.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint3_frozen_fusion,,0.5555696626979416,13,0.7190412782956058,0.5226900382787594,0.6290538446341024,0.561559064227099,0.7375611686248148,pairwise,mnv2+effb0 weighted,mnv2+effb0 weighted,0.5310806526417284,0.03047841158537057
20260527_161706_frozen_r50-mnv2-effb0_concat_mlp_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,frozen,concat,42,4608,4608.0,4608.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint3_frozen_fusion,,0.6341174129481171,15,0.7509986684420772,0.5492158469360896,0.6147214918622499,0.5762701842398641,0.7608657709141142,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat,0.5310806526417284,0.04518953159813566
20260527_161732_frozen_r50-mnv2-effb0_weighted_mlp_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,frozen,weighted,42,512,4608.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint3_frozen_fusion,,0.5582730703073615,8,0.7316910785619174,0.5143099918804094,0.5545403206040552,0.5192220029020013,0.7476518854036696,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted,0.5310806526417284,-0.011858649739727167
