run_id,backbone,backbones,backbone_combination,backbone_count,feature_source,fusion_method,seed,feature_dim,fusion_input_dim,fusion_output_dim,projection_dim,class_weighting,optimizer,learning_rate,weight_decay,dropout,hidden_dims,experiment_name,run_tag,search_stage,candidate_name,candidate_profile,runtime_seconds,planned_index,best_val_macro_f1,best_val_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
20260603_004025_finetuned_targeted_effb0_none_mlp_s42,efficientnet_b0,"[""efficientnet_b0""]",efficientnet_b0,1,finetuned_targeted,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_single_backbone,,,,,,,0.5106421084470195,3,0.7117177097203728,0.48114886039190086,0.6386325153450102,0.5342174156746335,0.7326484641538937
20260603_004017_finetuned_targeted_mnv2_none_mlp_s42,mobilenet_v2,"[""mobilenet_v2""]",mobilenet_v2,1,finetuned_targeted,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_single_backbone,,,,,,,0.5719832101588247,6,0.725699067909454,0.5611135634483774,0.6323086510721662,0.5845836137026694,0.7443727174392643
20260603_004008_finetuned_targeted_r50_none_mlp_s42,resnet50,"[""resnet50""]",resnet50,1,finetuned_targeted,none,42,2048,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4h_targeted_single_backbone,,,,,,,0.6345432029807317,3,0.7656458055925432,0.599870332270046,0.652653993823834,0.6132380391629796,0.7759089796793119
