run_id,display_name,backbone_combination,fusion_method,backbone,weight,weight_sum
20260531_211527_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p512_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.5097755789756775,0.9999999701976776
20260531_211527_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p512_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.4902243912220001,0.9999999701976776
20260531_212500_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p256_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,resnet50,0.3497244715690613,1.0000000298023224
20260531_212500_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p256_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.3236270248889923,1.0000000298023224
20260531_212500_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p256_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.3266485333442688,1.0000000298023224
20260531_211631_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.492101639509201,1.0000000298023224
20260531_211631_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.5078983902931213,1.0000000298023224
20260531_212025_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_regularized_p512_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.5316678285598755,1.0000000596046448
20260531_212025_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_regularized_p512_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.4683322310447693,1.0000000596046448
20260531_212112_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_regularized_p1024_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.5056076645851135,0.9999999701976776
20260531_212112_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_regularized_p1024_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.4943923056125641,0.9999999701976776
20260531_212813_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_regularized_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,resnet50,0.3956724405288696,0.9999999403953552
20260531_212813_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_regularized_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.2922390401363373,0.9999999403953552
20260531_212813_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_regularized_p1024_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.3120884597301483,0.9999999403953552
20260531_212004_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_regularized_p256_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.4989746510982513,0.9999999701976776
20260531_212004_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_regularized_p256_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.5010253190994263,0.9999999701976776
20260531_211455_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p256_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.5331578850746155,1.0
20260531_211455_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p256_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.4668421149253845,1.0
20260531_211830_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,resnet50,0.5122140645980835,0.9999999701976776
20260531_211830_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,r50+effb0 weighted,resnet50+efficientnet_b0,weighted,efficientnet_b0,0.4877859055995941,0.9999999701976776
20260531_212732_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_regularized_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,resnet50,0.4002699851989746,0.9999999403953552
20260531_212732_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_regularized_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,mobilenet_v2,0.2914435863494873,0.9999999403953552
20260531_212732_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_regularized_p512_s42,r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,efficientnet_b0,0.3082863688468933,0.9999999403953552
