display_name,backbone_combination,fusion_method,run_id,candidate_name,candidate_profile,canonical_run_id,best_val_macro_f1,canonical_best_val_macro_f1,val_macro_f1_gain,accuracy,canonical_accuracy,accuracy_gain,macro_f1,canonical_macro_f1,macro_f1_gain,weighted_f1,canonical_weighted_f1,weighted_f1_gain,runtime_seconds
r50+mnv2+effb0 weighted,resnet50+mobilenet_v2+efficientnet_b0,weighted,20260531_212608_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,w_cw_adamw_low_lr_p512,w_cw_adamw_low_lr,20260529_173817_finetuned_r50-mnv2-effb0_weighted_mlp_s42,0.6802763048359945,0.6461912447438763,0.0340850600921182,0.8015978695073236,0.800266311584554,0.0013315579227696217,0.6989555485753057,0.6867827900397871,0.01217275853551858,0.8078492311362607,0.8015411793906424,0.006308051745618326,67.88491820800118
effb0,efficientnet_b0,none,20260531_210242_finetuned_effb0_none_mlp_cw_adamw_base_s42,cw_adamw_base,cw_adamw_base,20260529_173652_finetuned_effb0_none_mlp_s42,0.5832914249826037,0.5599831007389472,0.023308324243656475,0.737017310252996,0.7490013315579228,-0.011984021304926817,0.5966491303241399,0.5957337752121764,0.0009153551119635006,0.7532269437887755,0.7598566316951374,-0.00662968790636187,12.098468374926597
r50+effb0 concat,resnet50+efficientnet_b0,concat,20260531_210911_finetuned_r50-effb0_concat_mlp_cw_adamw_small_s42,cw_adamw_small,cw_adamw_small,20260529_173730_finetuned_r50-effb0_concat_mlp_s42,0.6592631378080261,0.6371610461645419,0.0221020916434842,0.7876165113182424,0.7922769640479361,-0.0046604527296937315,0.674744494206861,0.6787325242339214,-0.003988030027060385,0.7943991930023041,0.7981244275676345,-0.00372523456533036,11.957786832936108
r50+effb0 weighted,resnet50+efficientnet_b0,weighted,20260531_211723_finetuned_r50-effb0_weighted_mlp_w_nocw_adamw_base_p512_s42,w_nocw_adamw_base_p512,w_nocw_adamw_base,20260529_173742_finetuned_r50-effb0_weighted_mlp_s42,0.6612300682170884,0.6414642269855543,0.01976584123153413,0.7949400798934754,0.7942743009320905,0.0006657789613848664,0.6625058797954245,0.6976650579184576,-0.03515917812303304,0.7871983522586486,0.8024896420508434,-0.01529128979219474,36.330725790932775
r50,resnet50,none,20260531_205839_finetuned_r50_none_mlp_nocw_adamw_base_s42,nocw_adamw_base,nocw_adamw_base,20260529_173629_finetuned_r50_none_mlp_s42,0.6530738191808517,0.6458333941339982,0.007240425046853516,0.8069241011984021,0.7756324900133156,0.0312916111850865,0.684338266070566,0.6577546004544469,0.026583665616119134,0.7981066118944053,0.7850908394351291,0.01301577245927621,11.99210708308965
mnv2,mobilenet_v2,none,20260531_210128_finetuned_mnv2_none_mlp_cw_adamw_small_s42,cw_adamw_small,cw_adamw_small,20260529_173640_finetuned_mnv2_none_mlp_s42,0.6356641758218401,0.6290972723511323,0.006566903470707763,0.7250332889480693,0.7343541944074568,-0.009320905459387463,0.5795560309302884,0.5749695585555911,0.004586472374697337,0.7454538166850597,0.7503753841626157,-0.00492156747755601,12.952377165900543
r50+mnv2 concat,resnet50+mobilenet_v2,concat,20260531_210653_finetuned_r50-mnv2_concat_mlp_cw_adamw_wide_s42,cw_adamw_wide,cw_adamw_wide,20260529_173707_finetuned_r50-mnv2_concat_mlp_s42,0.6524531034573272,0.6473257154109608,0.005127388046366366,0.7929427430093209,0.7862849533954727,0.0066577896138482195,0.6958669250700031,0.6852993171057028,0.01056760796430034,0.7997299734894571,0.7951656832114966,0.004564290277960459,27.68255425011739
r50+mnv2+effb0 concat,resnet50+mobilenet_v2+efficientnet_b0,concat,20260531_211138_finetuned_r50-mnv2-effb0_concat_mlp_nocw_adamw_base_s42,nocw_adamw_base,nocw_adamw_base,20260529_173806_finetuned_r50-mnv2-effb0_concat_mlp_s42,0.6600120683298158,0.6552454467854106,0.004766621544405214,0.8122503328894807,0.810918774966711,0.0013315579227696217,0.6879632412708778,0.7059113258715694,-0.017948084600691527,0.8067332854188961,0.8128550545674091,-0.006121769148513034,17.49149258295074
