backbone_combination,fusion_method,run_count,best_run_id,best_candidate_name,best_val_macro_f1,best_test_macro_f1,best_test_accuracy,best_test_weighted_f1,median_val_macro_f1,min_val_macro_f1,max_val_macro_f1
resnet50+mobilenet_v2+efficientnet_b0,weighted,12,20260531_212608_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,w_cw_adamw_low_lr_p512,0.6802763048359945,0.6989555485753057,0.8015978695073236,0.8078492311362607,0.6552039008534135,0.6271696484832302,0.6802763048359945
resnet50+efficientnet_b0,weighted,12,20260531_211723_finetuned_r50-effb0_weighted_mlp_w_nocw_adamw_base_p512_s42,w_nocw_adamw_base_p512,0.6612300682170884,0.6625058797954245,0.7949400798934754,0.7871983522586486,0.647352255672323,0.6395661552733048,0.6612300682170884
resnet50+mobilenet_v2+efficientnet_b0,concat,8,20260531_211138_finetuned_r50-mnv2-effb0_concat_mlp_nocw_adamw_base_s42,nocw_adamw_base,0.6600120683298158,0.6879632412708778,0.8122503328894807,0.8067332854188961,0.6525857687738932,0.6388917074958013,0.6600120683298158
resnet50+efficientnet_b0,concat,8,20260531_210911_finetuned_r50-effb0_concat_mlp_cw_adamw_small_s42,cw_adamw_small,0.6592631378080261,0.674744494206861,0.7876165113182424,0.7943991930023041,0.6483740533023612,0.6320772014144309,0.6592631378080261
resnet50,none,8,20260531_205839_finetuned_r50_none_mlp_nocw_adamw_base_s42,nocw_adamw_base,0.6530738191808517,0.684338266070566,0.8069241011984021,0.7981066118944053,0.637662571204266,0.6273396593635325,0.6530738191808517
resnet50+mobilenet_v2,concat,8,20260531_210653_finetuned_r50-mnv2_concat_mlp_cw_adamw_wide_s42,cw_adamw_wide,0.6524531034573272,0.6958669250700031,0.7929427430093209,0.7997299734894571,0.6453468240742861,0.6377700424738723,0.6524531034573272
mobilenet_v2,none,8,20260531_210128_finetuned_mnv2_none_mlp_cw_adamw_small_s42,cw_adamw_small,0.6356641758218401,0.5795560309302884,0.7250332889480693,0.7454538166850597,0.6202051018537322,0.6100435611484711,0.6356641758218401
efficientnet_b0,none,8,20260531_210242_finetuned_effb0_none_mlp_cw_adamw_base_s42,cw_adamw_base,0.5832914249826037,0.5966491303241399,0.737017310252996,0.7532269437887755,0.5628699692417476,0.5305912351108187,0.5832914249826037
