model_key,display_name,run_id,split,policy,label,precision,recall,f1,support,stage,identity_precision,identity_recall,identity_f1,identity_support,f1_gain,precision_gain,recall_gain
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,test,tta_rot4,akiec,0.4936708860759494,0.75,0.5954198473282443,52,test,0.4939759036144578,0.7884615384615384,0.6074074074074074,52,-0.011987560079163129,-0.00030501753850842306,-0.038461538461538436
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,test,tta_rot4,bcc,0.7540983606557377,0.647887323943662,0.696969696969697,71,test,0.7777777777777778,0.5915492957746479,0.672,71,0.024969696969696975,-0.023679417122040136,0.05633802816901412
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,test,tta_rot4,bkl,0.6794871794871795,0.6347305389221557,0.6563467492260062,167,test,0.643312101910828,0.6047904191616766,0.6234567901234568,167,0.03288995910254944,0.03617507757635152,0.029940119760479056
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,test,tta_rot4,df,0.75,0.45,0.5625,20,test,0.7857142857142857,0.55,0.6470588235294118,20,-0.0845588235294118,-0.0357142857142857,-0.10000000000000003
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,test,tta_rot4,nv,0.9087301587301588,0.9123505976095616,0.9105367793240556,1004,test,0.9083585095669688,0.898406374501992,0.9033550325488232,1004,0.007181746775232423,0.00037164916318999097,0.013944223107569598
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,test,tta_rot4,mel,0.5357142857142857,0.5389221556886228,0.5373134328358209,167,test,0.521978021978022,0.5688622754491018,0.5444126074498568,167,-0.007099174614035864,0.013736263736263687,-0.029940119760479056
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,test,tta_rot4,vasc,0.9444444444444444,0.8095238095238095,0.8717948717948718,21,test,0.8421052631578947,0.7619047619047619,0.8,21,0.07179487179487176,0.10233918128654973,0.04761904761904767
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_rot4,akiec,0.6909090909090909,0.7307692307692307,0.7102803738317757,52,test,0.576271186440678,0.6538461538461539,0.6126126126126126,52,0.0976677612191631,0.11463790446841293,0.07692307692307687
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_rot4,bcc,0.7428571428571429,0.7323943661971831,0.7375886524822695,71,test,0.7205882352941176,0.6901408450704225,0.7050359712230215,71,0.03255268125924793,0.022268907563025242,0.04225352112676062
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_rot4,bkl,0.5934579439252337,0.7604790419161677,0.6666666666666666,167,test,0.5763546798029556,0.7005988023952096,0.6324324324324324,167,0.03423423423423422,0.017103264122278028,0.05988023952095811
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_rot4,df,0.6190476190476191,0.65,0.6341463414634146,20,test,0.6,0.75,0.6666666666666666,20,-0.03252032520325199,0.01904761904761909,-0.09999999999999998
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_rot4,nv,0.917098445595855,0.8814741035856574,0.898933468765871,1004,test,0.9297872340425531,0.8705179282868526,0.8991769547325102,1004,-0.00024348596663925637,-0.012688788446698185,0.010956175298804771
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_rot4,mel,0.5732484076433121,0.5389221556886228,0.5555555555555556,167,test,0.5376344086021505,0.5988023952095808,0.56657223796034,167,-0.011016682404784373,0.03561399904116158,-0.059880239520958
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_rot4,vasc,0.95,0.9047619047619048,0.926829268292683,21,test,0.8095238095238095,0.8095238095238095,0.8095238095238095,21,0.11730545876887344,0.14047619047619042,0.09523809523809523
