split,model_key,display_name,policy,identity_macro_f1,macro_f1,macro_f1_gain,identity_accuracy,accuracy,accuracy_gain,identity_weighted_f1,weighted_f1,weighted_f1_gain,runtime_multiplier
test,canonical_concat,Sprint 4 concat (local regenerated MLP),tta_rot4,0.6853843801512793,0.6901259110683851,0.0047415309171057185,0.8042609853528628,0.8142476697736352,0.00998668442077233,0.8062856216574801,0.8145969039276209,0.008311282270140774,4.9060449384573035
test,sprint4c_weighted,Sprint 4C weighted,tta_rot4,0.6988600978787705,0.7328571895797479,0.03399709170097742,0.8029294274300932,0.8149134487350199,0.011984021304926706,0.8090906695426477,0.8176365039819932,0.008545834439345423,3.900024052582864
val,canonical_concat,Sprint 4 concat (local regenerated MLP),tta_flip4,0.6599202816882853,0.6948742675462186,0.0349539858579333,0.8139686684073107,0.8328981723237598,0.018929503916449097,0.8161624275480339,0.8348934644286606,0.018731036880626717,4.265814264138878
val,canonical_concat,Sprint 4 concat (local regenerated MLP),tta_rot4,0.6599202816882853,0.694919663639617,0.034999381951331676,0.8139686684073107,0.8257180156657964,0.011749347258485643,0.8161624275480339,0.8280198622240659,0.011857434676031953,5.775297647518314
val,sprint4c_weighted,Sprint 4C weighted,tta_flip4,0.6779474485248252,0.7030233511049532,0.02507590258012793,0.804177545691906,0.8172323759791122,0.01305483028720622,0.8103458579174025,0.8228255846541371,0.012479726736734587,4.157215303418064
val,sprint4c_weighted,Sprint 4C weighted,tta_rot4,0.6779474485248252,0.7065786996632956,0.028631251138470315,0.804177545691906,0.8211488250652742,0.016971279373368175,0.8103458579174025,0.8260195203372801,0.015673662419877554,4.464490024201063
