model_key,display_name,run_id,split,policy,label,precision,recall,f1,support,stage,identity_precision,identity_recall,identity_f1,identity_support,f1_gain,precision_gain,recall_gain
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_d4_8,akiec,0.6727272727272727,0.7115384615384616,0.6915887850467289,52,test,0.576271186440678,0.6538461538461539,0.6126126126126126,52,0.07897617243411637,0.09645608628659474,0.05769230769230771
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_d4_8,bcc,0.7285714285714285,0.7183098591549296,0.723404255319149,71,test,0.7205882352941176,0.6901408450704225,0.7050359712230215,71,0.018368284096127452,0.007983193277310896,0.028169014084507116
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_d4_8,bkl,0.5753424657534246,0.7544910179640718,0.6528497409326425,167,test,0.5763546798029556,0.7005988023952096,0.6324324324324324,167,0.020417308500210063,-0.0010122140495310017,0.053892215568862256
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_d4_8,df,0.6190476190476191,0.65,0.6341463414634146,20,test,0.6,0.75,0.6666666666666666,20,-0.03252032520325199,0.01904761904761909,-0.09999999999999998
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_d4_8,nv,0.921875,0.8814741035856574,0.9012219959266804,1004,test,0.9297872340425531,0.8705179282868526,0.8991769547325102,1004,0.0020450411941701496,-0.007912234042553146,0.010956175298804771
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_d4_8,mel,0.5732484076433121,0.5389221556886228,0.5555555555555556,167,test,0.5376344086021505,0.5988023952095808,0.56657223796034,167,-0.011016682404784373,0.03561399904116158,-0.059880239520958
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,test,tta_d4_8,vasc,0.95,0.9047619047619048,0.926829268292683,21,test,0.8095238095238095,0.8095238095238095,0.8095238095238095,21,0.11730545876887344,0.14047619047619042,0.09523809523809523
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_d4_8,akiec,0.6041666666666666,0.5471698113207547,0.5742574257425742,53,validation,0.5294117647058824,0.5094339622641509,0.5192307692307693,53,0.05502665651180494,0.07475490196078427,0.037735849056603765
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_d4_8,bcc,0.7444444444444445,0.8170731707317073,0.7790697674418605,82,validation,0.6966292134831461,0.7560975609756098,0.7251461988304093,82,0.0539235686114512,0.04781523096129836,0.060975609756097504
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_d4_8,bkl,0.5580357142857143,0.78125,0.6510416666666666,160,validation,0.5491071428571429,0.76875,0.640625,160,0.01041666666666663,0.008928571428571397,0.012499999999999956
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_d4_8,df,0.7368421052631579,0.5833333333333334,0.6511627906976745,24,validation,0.631578947368421,0.5,0.5581395348837209,24,0.09302325581395354,0.10526315789473684,0.08333333333333337
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_d4_8,nv,0.9435146443514644,0.8860510805500982,0.9138804457953394,1018,validation,0.935244161358811,0.8654223968565815,0.8989795918367347,1018,0.014900853958604743,0.008270482992653316,0.02062868369351667
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_d4_8,mel,0.6342857142857142,0.6416184971098265,0.6379310344827587,173,validation,0.5913978494623656,0.6358381502890174,0.6128133704735376,173,0.025117664009221108,0.04288786482334861,0.00578034682080919
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_d4_8,vasc,0.85,0.7727272727272727,0.8095238095238095,22,validation,0.8095238095238095,0.7727272727272727,0.7906976744186046,22,0.018826135105204922,0.04047619047619044,0.0
