split,model_key,display_name,policy,identity_macro_f1,macro_f1,macro_f1_gain,identity_accuracy,accuracy,accuracy_gain,identity_weighted_f1,weighted_f1,weighted_f1_gain,runtime_multiplier
test,sprint4c_weighted,Sprint 4C weighted,tta_d4_8,0.6988600978787705,0.7265137060766934,0.027653608197922952,0.8029294274300932,0.8129161118508655,0.00998668442077233,0.8090906695426477,0.8163124026880294,0.007221733145381659,7.76539521939077
val,sprint4c_weighted,Sprint 4C weighted,tta_d4_8,0.6779474485248252,0.7166952771929547,0.038747828668129425,0.804177545691906,0.8257180156657964,0.021540469973890364,0.8103458579174025,0.8306891806349194,0.02034332271751682,9.022660202259335
