comparison_label,experiment,model_key,policy,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,runtime_seconds
Sprint 4C weighted identity,sprint4i,sprint4c_weighted,identity,0.8029294274300932,0.6785942219580378,0.7247757049045755,0.6988600978787705,0.8090906695426477,30.583876292221248
Sprint 4D rot4 TTA,sprint4d,sprint4c_weighted,tta_rot4,0.8149134487350199,0.7266598071397505,0.7426858289883952,0.7328571895797479,0.8176365039819932,279.49141470808536
Sprint 4I D4 TTA,sprint4i,sprint4c_weighted,tta_d4_8,0.8129161118508655,0.7201160276775795,0.7370710718133784,0.7265137060766934,0.8163124026880294,237.4958867500536
